version,buildingId,x,y,floor,mx,my,mz,my_bias,mx_bias,mz_uncalib,mz_bias,my_uncalib,mx_uncalib,uploaddAt
Line_3_left_area,e384f534f12c984588d8868e,371,603,0,38.49100112915039,-2.9870002269744873,68.82400512695312,-65.56300354003906,-16.069000244140625,-11.383000373840332,-80.44400024414062,-68.94600677490234,23.054000854492188,2024-06-17T12:23:16.552Z
Line_3_left_area,e384f534f12c984588d8868e,361,603,0,51.59300231933594,3.9060001373291016,67.72200012207031,-65.56200408935547,-16.07000160217285,-13.589000701904297,-80.44400024414062,-61.84400177001953,35.4900016784668,2024-06-17T12:23:16.552Z
Line_3_left_area,e384f534f12c984588d8868e,241,713,0,47.59700393676758,4.28000020980835,52.61100387573242,-65.56200408935547,-16.07000160217285,-27.613000869750977,-80.44500732421875,-61.448001861572266,30.285001754760742,2024-06-17T12:23:16.552Z
Line_3_left_area,e384f534f12c984588d8868e,216,713,0,38.0260009765625,3.5950002670288086,52.1670036315918,-65.56200408935547,-16.07000160217285,-30.929000854492188,-80.44400024414062,-61.211002349853516,22.441001892089844,2024-06-17T12:23:16.552Z
Line_3_left_area,e384f534f12c984588d8868e,371,713,0,50.86300277709961,0.6580000519752502,57.24800109863281,-65.56200408935547,-16.069000244140625,-22.902000427246094,-80.44500732421875,-64.13899993896484,34.09700012207031,2024-06-17T12:23:16.552Z
Line_3_left_area_extra,e384f534f12c984588d8868e,316,713,0,47.26100158691406,-3.4180002212524414,54.33700180053711,-65.56300354003906,-16.069000244140625,-25.339000701904297,-80.44400024414062,-69.22500610351562,29.39200210571289,2024-06-17T12:25:04.877Z
Line_3_left_area_extra,e384f534f12c984588d8868e,316,648,0,46.22700119018555,11.45300006866455,52.43000411987305,-65.56200408935547,-16.07000160217285,-26.35700035095215,-80.44400024414062,-54.65700149536133,29.009000778198242,2024-06-17T12:25:04.877Z
Line_3_left_area_extra,e384f534f12c984588d8868e,316,683,0,46.69700241088867,4.056000232696533,53.71000289916992,-65.56200408935547,-16.069000244140625,-28.281002044677734,-80.44400024414062,-61.0780029296875,30.87200164794922,2024-06-17T12:25:04.877Z
Line_4_left_hall_extra,e384f534f12c984588d8868e,311,605,0,-2.945000171661377,22.687000274658203,-33.17500305175781,52.12000274658203,80.0560073852539,-39.87600326538086,-8.322999954223633,75.19000244140625,76.50700378417969,2024-06-17T13:37:08.414Z
Line_4_left_hall_extra,e384f534f12c984588d8868e,311,650,0,0.9440000653266907,24.022001266479492,-29.06100082397461,52.12000274658203,80.0580062866211,-37.893001556396484,-8.322999954223633,75.22200012207031,81.23200225830078,2024-06-17T13:37:08.414Z
Line_4_left_hall_extra,e384f534f12c984588d8868e,311,685,0,-2.1710000038146973,18.4320011138916,-26.554000854492188,52.12000274658203,80.0560073852539,-34.87800216674805,-8.324000358581543,70.552001953125,77.88500213623047,2024-06-17T13:37:08.414Z
Line_4_left_hall_extra,e384f534f12c984588d8868e,311,715,0,-1.540000081062317,17.630001068115234,-23.679000854492188,52.12000274658203,80.0560073852539,-32.17399978637695,-8.324000358581543,68.67100524902344,79.74000549316406,2024-06-17T13:37:08.414Z
Line_5_stairs_down,e384f534f12c984588d8868e,451,335,0,-2.876000165939331,21.70600128173828,-29.310001373291016,52.12000274658203,80.0570068359375,-37.634002685546875,-8.324000358581543,73.82600402832031,77.1810073852539,2024-06-17T13:42:31.866Z
Line_5_stairs_down,e384f534f12c984588d8868e,506,335,-1,0.3400000035762787,44.14400100708008,-24.50800132751465,52.11900329589844,80.0580062866211,-32.83100128173828,-8.322999954223633,96.26300811767578,80.39800262451172,2024-06-17T13:42:31.866Z
Line_5_stairs_down,e384f534f12c984588d8868e,556,335,-1,-0.8170000314712524,19.86600112915039,-28.137001037597656,52.12000274658203,80.0560073852539,-36.46000289916992,-8.322999954223633,71.98600006103516,79.23900604248047,2024-06-17T13:42:31.866Z
Line_5_stairs_down,e384f534f12c984588d8868e,566,305,-1,-2.1590001583099365,18.731000900268555,-27.768001556396484,52.12000274658203,80.0570068359375,-36.092002868652344,-8.324000358581543,70.85100555419922,77.89800262451172,2024-06-17T13:42:31.866Z
Line_5_stairs_down,e384f534f12c984588d8868e,506,305,-1,-1.315000057220459,24.398000717163086,-19.13800048828125,52.11900329589844,80.0570068359375,-27.46200180053711,-8.324000358581543,76.51700592041016,78.74200439453125,2024-06-17T13:42:31.866Z
Line_5_stairs_down,e384f534f12c984588d8868e,446,305,-1,3.19100022315979,16.845001220703125,-15.761000633239746,52.11900329589844,80.0580062866211,-24.9320011138916,-8.322999954223633,68.23300170898438,82.71200561523438,2024-06-17T13:42:31.866Z
Line_5_stairs_down,e384f534f12c984588d8868e,396,315,-1,-4.264000415802002,18.426000595092773,-24.70400047302246,52.11900329589844,80.0560073852539,-33.027000427246094,-8.322999954223633,70.54500579833984,75.79199981689453,2024-06-17T13:42:31.866Z
Line_5_stairs_down_2,e384f534f12c984588d8868e,476,370,-1,-6.4110002517700195,18.038000106811523,-23.71200180053711,52.12000274658203,80.0570068359375,-32.03600311279297,-8.324000358581543,70.15800476074219,73.64600372314453,2024-06-17T13:45:55.045Z
